Kaupunginosa,Huoneisto,Talotyyppi,Neliömäärä,Velaton hinta,Euroa per neliö,Rakennusvuosi,Kerros,Hissi,Kunto,Energialuokka
Hervanta,"1h ,kk, ph/wc, ...",kt,"34,00",70000,2059,1977,8/8,on,tyyd.,
Kalevanharju,"1h, kk",kt,"27,00",95000,3519,1972,3/3,ei,hyvä,"F,2013"
Hervanta,"1h, kk, s",kt,"36,50",78000,2137,1984,3/3,ei,hyvä,"F,2013"
Ranta-tampella,1,kt,"13,00",15000,1154,2019,1/8,ei, ,"C,2018"
Janka,"1h, kt",kt,"30,00",142000,4733,2020,3/5,on, ,"C,2013"
Multisilta,"1h, kt",kt,"23,00",93148,4050,2019,5/8,on, ,"B,2018"
Niemenranta,"1h, kt, kph/wc, p",kt,"24,50",105000,4286,2016,2/2,ei,hyvä,
Tesoma,1,kt,"13,00",9500,731,2018,1/8,on,hyvä,"C,2018"
Keskusta,"1h,kt,parvi",kt,"35,00",234000,6686,2019,5/6,on,hyvä,"C,2013"
Lentävänniemi,1h+tpk+s+lasite...,kt,"42,00",149000,3548,2013,4/8,on,hyvä,"C,2013"
Härmälänranta,"1h,kt,kph",kt,"25,00",120000,4800,2018,2/7,on,hyvä,"C,2018"
Lintuhytti,1h+kt,kt,"32,00",110000,3438,2019,1/2,ei,hyvä,
Amuri,"1h, k, kph",kt,"33,00",131000,3970,1939,4/5,ei,hyvä,
Multisilta,"1h, kt",kt,"22,00",93440,4247,2019,7/8,on, ,"B,2018"
Härmälä,1h+kt+kph+parveke,kt,"24,50",124900,5098,2018,6/6,on,hyvä,
Kaleva,"1h, kk, kph, parv.",kt,"25,00",111000,4440,1952,2/3,ei,huono,
Multisilta,"1h, kt",kt,"23,00",94608,4113,2019,5/8,on, ,"B,2018"
Multisilta,"1h, kt",kt,"24,00",95484,3979,2019,5/8,on, ,"B,2018"
Keskusta,"1h, kk, alkovi,...",kt,"26,50",120000,4528,1937,6/6,on,tyyd.,
Hervanta,1h+k+kph+lasite...,kt,"25,50",124500,4882,2019,8/8,on,hyvä,
Santalahti,"1h, kt, kph/wc,...",kt,"20,00",147900,7395,2019,4/7,on,hyvä,C
Kaleva,"1 h, alkovi, kk, p",kt,"31,00",140250,4524,1967,2/7,on,hyvä,"F,2007"
Hatanpää,1H+ALK+KT,kt,"31,00",158100,5100,2019,3/7,on,hyvä,"C,2018"
Keskusta,"1h,kt,parvi",kt,"35,00",232000,6629,2018,4/6,on,hyvä,"C,2013"
Tesoma,1h+kt+lasitettu...,kt,"26,00",107900,4150,2018,4/6,on,hyvä,"C,2018"
Kaleva,"1h, kk, kh/wc",kt,"32,00",132000,4125,1958,2/8,on,hyvä,"F,2013"
Hervanta,"1h, alkovi, kk,...",kt,"34,00",74000,2176,1977,3/5,on,hyvä,"F,2013"
Petsamo,"1h, kk, kph",kt,"20,00",56500,2825,1937,1/2,ei,tyyd.,"D,2007"
Rantaperkiö,"1h, kk, kph, al...",kt,"28,00",67000,2393,1969,3/3,ei,hyvä,"F,2013"
Nekala,"1h, k, kph/wc",kt,"32,00",87000,2719,1948,1/3,ei,hyvä,
Härmälänranta,1h+kt+lasitettu...,kt,"21,00",125501,5976,2018,5/7,on,hyvä,"C,2018"
Vuores,1h+alkovi+kt+kp...,kt,"22,50",98500,4378,2016,2/5,on,hyvä,
Amuri,"1h, kt, ph, p",kt,"29,50",193000,6542,2017,7/8,on,hyvä,C
Kalkku,"1h, alkovi, kk,...",kt,"34,50",54000,1565,1975,3/7,on,tyyd.,
Petsamo,"1h, kk, kph, ul...",kt,"35,00",95000,2714,1938,2/2,ei,hyvä,"G,2013"
Vuores,"1h, kt, kph, la...",kt,"25,50",100000,3922,2015,3/5,on,hyvä,
Peltolammi,"h, kt, kph/wc, ...",kt,"28,00",112100,4004,2019,1/6,on,hyvä,
Järvensivu,"1h, k, kph",kt,"33,50",69000,2060,1960,2/2,ei,hyvä,
Hervanta,1h+kph+kk+parveke,kt,"30,00",75000,2500,1979,4/8,on,tyyd.,"F,2013"
Uusikylä,1h+kk+kph+vh,kt,"36,00",120000,3333,1970,1/3,ei,hyvä,
Hervanta,"2h, k, kph/wc, ...",kt,"56,00",66000,1179,1977,6/8,on,tyyd.,"F,2013"
Lentävänniemi,"2h, k, lasitett...",kt,"57,50",65000,1130,1975,2/7,on,hyvä,"D,2007"
Hervanta,"1h, kk, kh, vh",kt,"32,00",80000,2500,1974,1/7,on,hyvä,F
Lentävänniemi,1h+k,kt,"27,50",118990,4327,2018,4/6,on,hyvä,
Lentävänniemi,"1h,kt",kt,"32,00",125361,3918,2019,4/6,on,hyvä,"C,2013"
Janka,"1h, kt",kt,"30,00",137000,4567,2020,2/5,on, ,"C,2013"
Peltolammi,"1h, k, kph",kt,"34,00",65000,1912,1967,3/3,ei,hyvä,"E,2007"
Härmälänranta,1h+kt+kph+terassi,kt,"20,50",109000,5317,2018,1/6,on,hyvä,
Hatanpää,1H+KT,kt,"27,00",148600,5504,2019,1/7,on,hyvä,"C,2018"
Härmälä,1h+kt+kph+ransk...,kt,"24,50",123500,5041,2018,5/7,on,hyvä,
Lentävänniemi,"1h, kt, wc/kph,...",kt,"24,50",97000,3959,2016,1/2,ei,hyvä,
Lentävänniemi,"1h, kt",kt,"33,00",138040,4183,2019,4/6,on, ,"C,2013"
Keskusta,1h,kt,"13,00",33250,2558,2018,1/8,on,hyvä,"C,2013"
Ristinarkku,"1h,k",kt,"28,00",126000,4500,2019,1/7,on,hyvä,"C,2013"
Janka,"1h, kt",kt,"30,00",137000,4567,2020,2/5,on, ,"C,2013"
Kaukajärvi,"1h, kk",kt,"28,50",80000,2807,1968,8/9,on,hyvä,
Härmälänranta,"1h, kt",kt,"21,00",117900,5614,2018,4/7,on,hyvä,"C,2018"
Pispala,"1h, k, kph",kt,"34,50",90000,2609,1928,1/3,ei,hyvä,"G,2013"
Tesoma,1h+kt+kph+lasit...,kt,"20,50",96480,4706,2018,1/6,on,hyvä,
Lentävänniemi,"1h, kt, kph, pa...",kt,"29,00",131920,4549,2019,6/6,on,hyvä,
Niemenranta,"1h, kt, kph/ wc...",kt,"29,50",117000,3966,2016,1/2,ei,hyvä,"C,2013"
Annala,"1h, kk, kph, vh, p",kt,"33,50",72000,2149,1979,3/3,ei,hyvä,"F,2013"
Härmälänranta,"2h,kt,kph,lasit...",kt,"38,00",153000,4026,2018,2/7,on,hyvä,"C,2018"
Hervanta,"1h, kt, kph, la...",kt,"25,50",115500,4529,2019,3/8,on,hyvä,
Multisilta,"1h, kt",kt,"22,00",93440,4247,2019,7/8,on, ,"B,2018"
Multisilta,"1h, kt",kt,"23,00",94608,4113,2019,6/8,on, ,"B,2018"
Multisilta,"1h, kt",kt,"23,00",96068,4177,2019,7/8,on, ,"B,2018"
Santalahti,"1h, kt, kph/wc,...",kt,"25,00",157500,6300,2019,3/7,on,hyvä,C
Amuri,"1h, k, alkovi, kph",kt,"42,00",138000,3286,1950,1/6,on,hyvä,"F,2013"
Tesoma,1H+KT,kt,"27,00",95823,3549,2018,3/6,on,hyvä,
Tesoma,1H+KT,kt,"27,00",98982,3666,2018,4/6,on,hyvä,
Lentävänniemi,"1h, avokeitti...",kt,"27,50",119990,4363,2018,5/6,on,hyvä,
Lentävänniemi,"1h, kt, kph, pa...",kt,"29,00",131920,4549,2019,6/6,on,hyvä,
Lamminpää,"1h,k",kt,"36,00",65000,1806,1948,2/2,ei,hyvä,
Vuores,Hallipaikka,kt,"12,50",1800,144,2017,1/6,on,hyvä,
Hervanta,"1h,kk,kph,vh,p",kt,"34,50",76000,2203,1983,3/5,on,tyyd.,"E,2013"
Linnainmaa,1 H + K,kt,"27,00",117400,4348,2018,4/7,on,hyvä,
Armonkallio,"1h, kk, kph, s,...",kt,"33,00",135000,4091,1985,2/3,on,hyvä,"F,2013"
Linnainmaa,1 H + K,kt,"27,50",124900,4542,2018,6/7,on,hyvä,
Tammela,autotalli,kt,"17,50",28500,1629,1982,1/1,on,hyvä,"F,2013"
Koivistonkylä,"oh, kk, kph, wc",kt,"26,50",68000,2566,1960,2/3,ei,tyyd.,"F,2013"
Vuores,autopistokepaikka,kt,"5,00",400,80,2018,1/1,ei,hyvä,C
Lintuhytti,2h+kt+s,kt,"41,00",132000,3220,2019,1/2,ei,hyvä,
Tesoma,"2h,kk",kt,"41,00",135100,3295,2018,3/8,on,hyvä,"C,2018"
